Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.04,0.05,0.07,0.10,0.12,0.16,0.20,0.21,0.19,0.16,0.12
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,1.69,1.76,1.77,1.43,1.15,0.88,0.68,0.50,0.35,0.24,0.18
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.03,0.04,0.06,0.09,0.14,0.18,0.22,0.28,0.35,0.29,0.25
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.03,0.04,0.06,0.09,0.14,0.18,0.22,0.28,0.35,0.29,0.25
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Supply,Mt CH4/yr,3.30,4.19,6.46,8.70,13,23,30,35,37,39,41
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,5.07,6.04,8.36,10,14,24,32,36,38,39,42
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use,Mt CH4/yr,17,18,19,19,19,19,19,18,18,18,18
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.21,0.25,0.32,0.37,0.38,0.38,0.36,0.34,0.33,0.31,0.29
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,16,17,18,19,18,18,18,18,18,18,17
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.86,0.93,0.96,0.95,0.90,0.87,0.84,0.82,0.80,0.79,0.77
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,12,13,13,13,13,12,12,12,12,12
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3.84,4.02,4.30,4.35,4.56,4.76,4.81,4.86,4.92,4.96,5.00
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.11,0.05,0.07,0.04,0.05,0.09,0.04,0.03,0.04,0.04,0.08
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.45,0.41,0.37,0.34,0.30,0.27,0.25,0.23,0.21,0.19,0.18
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4|Waste,Mt CH4/yr,5.10,5.54,6.54,7.45,8.20,8.78,9.07,9.12,8.94,8.53,8.04
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4,Mt CH4/yr,8.80,12,13,14,14,13,11,10,9.19,8.27,7.56
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.51,0.54,0.54,0.42,0.27,0.16,0.11,0.07,0.05,0.04,0.02
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.02,0.02,0.02,0.04,0.10,0.11,0.10,0.12,0.16,0.13,0.10
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.02,0.02,0.02,0.04,0.10,0.11,0.10,0.12,0.16,0.13,0.10
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Supply,Mt CH4/yr,1.87,2.23,3.16,4.15,4.82,4.22,3.48,2.74,2.04,1.47,1.10
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.40,2.80,3.75,4.63,5.22,4.51,3.71,2.97,2.28,1.65,1.24
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use,Mt CH4/yr,4.48,6.77,7.18,6.69,6.27,5.36,4.68,4.55,4.47,4.37,4.26
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.22,0.28,0.31,0.31,0.31,0.29,0.27,0.26,0.24,0.22
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,3.45,3.70,4.15,4.30,4.33,4.34,4.26,4.19,4.12,4.05,3.99
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.09,0.10,0.12,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.10
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.81,0.90,1.02,1.10,1.14,1.16,1.15,1.14,1.13,1.12,1.11
